Firm,date,employee_title,location,review_title,pros,cons
Facebook,"Apr 3, 2020 ", Software Engineer,"New York, NY",Good Company,"pays well , reputed company.
","needs to keep their customers' data safe.
"
Facebook,"Apr 3, 2020 ", Software Engineer,"Menlo Park, CA",FB Review,"Benefits are super Good! yay!
","There's much work to do
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Apr 2, 2020 ", Product Marketing,"San Carlos, CA","Great place to work, can be chaotic and stressful","Fast moving company with many product lines
","not a people management oriented culture
3 people found this review helpful
Helpful
Share
Repor"
Facebook,"Apr 1, 2020 ", Escalation Specialist,"Austin, TX",High Impact Work,"High visibility and cross functional work. Autonomy in projects.
","The high priority of the work tends to become stressful.
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Mar 31, 2020 ", Data Scientist,"Menlo Park, CA",DS review,"Great work culture Great people Work on why you like - you will be judged on impact of the work
","The company and its people have a highly left political bias and it shows up in conversation around the workplace. so how are we supposed to be impartial when treating content or views from the other side.
Continue reading
8 people found this review helpful
Helpful
Share
Repor"
Facebook,"Mar 29, 2020 ", Quantitative Researcher,"Menlo Park, CA",Heaven on earth,"State of the art campus with onsite gyms, spa, hair salon, arcade and more. Outstanding internal tools, both software and hardware, for work and collaboration with colleagues around the world. Top of market pay, even before you count the benefits. Free food is just the beginning. Probably the most underrated perk is a free cell phone with international data roaming. (It's a corporate phone, but personal use is allowed within reasonable limits.)

Promotion cycles are twice yearly, more frequent than some other tech companies. Promotions come quick to top performers, who are lavished with ""refresher"" or ""additional"" equity awards.
","Exhausting performance review process. It feels neverending. Performance ratings are a bit too formulaic, and thus can be gamed to an extent; the system undervalues certain types of work (for example long-term, risky projects) that other companies would find valuable.

Traffic around the Menlo Park (MPK) HQ is atrocious. Parking is extremely constrained. Corporate shuttles are reliable and the route network covers a huge amount of the Bay Area and then some (there's even several daily shuttles to Santa Cruz) -- but the seats are often too narrow and uncomfortable. To give you a sense of the problem, most economy class airline seats are wider and more plush!
2 people found this review helpful
Helpful
Share
Report
Meta Response
Global Brand Partnerships Manager
Thank you for this feedback! We're very happy you're here. It's important that you're growing and thriving in your career here and that top performers are being recognized/rewarded for their contributions. We will continue to evaluate our perks & conveniences (as well as PSC) to make sure we're hitting the mark"
Facebook,"Mar 29, 2020 ", Product Manager,"Palo Alto, CA",Wonderful Company,"Everything, a really great company to work for.
","None. People work hard and that's not a con
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Mar 28, 2020 ", Brand Marketing Manager,"San Francisco, CA",I’ve never worked at such an incredible company.,"The people are by far the smartest and most empathetic bunch I’ve ever had the privilege of working with. The benefits are amazing and it’s truly run like a modern company that really understands the modern way of doing things. I’ve worked at a number of other big companies including MSFT and Facebook is my #1 by a long shot.
","There can be so many things to work on sometimes it can get overwhelming.
"
Facebook,"Mar 27, 2020 ", Executive Assistant,"Menlo Park, CA","Great Perks, Management not so much","Great benefits, Perks and amenities
","poor management across verticals, poor work life benefits
2 people found this review helpful
Helpful
Share
Repor"
Facebook,"Mar 27, 2020 ", Technical Program Manager,"Menlo Park, CA",Good company overall,"Good benefit and overall culture. Feels excellent to work in an environment full of bright people.
","Smart braggers get their ways in often cases. Silent hard workers get bummed. This explains the lost of numerous extremely brilliant and hard working engineers, and the thrive of plenty of do-little but talk-a-lot people. All smart people, but the system is eventually encouraging appearance over everything else.
1 person found this review helpful
Helpful
Share
Repor"
Facebook,"Mar 26, 2020 ", Product Marketing Manager,"Chicago, IL",No Place I'd Rather Be,"- Challenging work where you live & grow
 - Teammates who are driven, intelligent, and fun who also pushes you to achieve more
-Mission oriented company that lives out community building as much internally as externally
-Competitive compensation
","- FB is a flat organization so it's more difficult to get promoted (changing roles is much easier) 
- Work-life balance can be challenging depending on your team
- Sometimes, people have too much of a sense of privilege (similar to most Tech companies)
"
Facebook,"Mar 26, 2020 ", Characterization Engineer,"Redmond, WA",Contractor converting to FTE,"Excellent benefits
Fast-paced, interesting projects
Management is supportive (safe work environment, good work/life balance, happy and functional team)
Unending opportunities for career growth
","Your role and projects may not be well defined. If you are not proactive and willing to take ownership this may not be a great fit.
"
Facebook,"Mar 26, 2020 ", Research Scientist,"New York, NY",research,"well paid + good env + nice people
","nothing com ment he re
1 person found this review helpful
Helpful
Share
Repor"
Facebook,"Mar 24, 2020 ", Technical Program Manager,"Menlo Park, CA",Great place to work if you're middle aged and low ambitioned,"Great salary, management cares, and the tech stack and tooling is second to maybe only Google.
","lots of politics for work and desire to create impact
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Mar 24, 2020 ",Anonymous,"Menlo Park, CA",FB looks out for you during trying times,"The company and my team really care about me as an individual and employee and I don't say that lightly. In this trying time, FB has gone out of their way to ensure the safety of everyone and has helped ensure productive continues while we work from home. I have to say that I have a great and support team and the team I support is equally great. I'm proud to be an employee of FB.
","When the shuttles were running, they were typically overcrowded and the AC was questionable.
Continue reading
2 people found this review helpful
Helpful
Share
Repor"
Facebook,"Mar 24, 2020 ", Administrative Specialist,"Austin, TX",Facebook FTE,"Working for a company that emphasizes equality, inclusion, and diversity so heavily has been such a great breath of fresh air. From day one Facebook made you feel apart of a family and it has been that since I started working for the company.
","Facebook does move very fast. Although I do not mind the fast pace, at times it could become overwhelming.
"
Facebook,"Mar 23, 2020 ", Data Scientist,"New York, NY",Nice place,"great benefits like salary etc
","work life balance is very bad
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Mar 23, 2020 ", Software Engineer,"Cambridge, MA",Horrible terrible company with worst culture,"Free food, good salary, hype
","At Facebook I got to know what ""gaslighting"" really means. Gaslighting is exactly what is the culture that is imposed top-down by management. It starts at the bootcamp. There, you'll be properly brainwashed how cute and cuddly Facebook is, how unfairly it is being treated by everybody, how great and kind the Czar and his ruling gang is, and how grateful and privileged you (a despicable useless worm) should feel to be here! Right there, in the bootcamp, they will start the abusive treatment by telling you ""why on Earth did we hire you? You do not submit any code during last 24 hours!"" This abuse and fostering of your impostor syndrome will keep going on. Typical Facebook-style management is when you are being repeatedly told ""I have no idea how did you got here, and if how come you were not fired yesterday - but OK, we'll give you one more chance"". This is part of this culture! 
There is a STACK RANKING! It's in tooling, in manager training materials! The fact that Facebook officially denies doing it is a yet-another confirmation that this company doesn't shy away from crime. Stack ranking means that all colleagues see each other as a competition. When I started my job at Facebook, my closest colleague didn't want to talk to me, because he knew that the better I succeed, the worse is for him. This is very profound and affects everybody: it's a hostile work environment. 
Performance reviews is a complete sham. There is one ""axis"" which is related to your actual performance. The other 3 (three!) axes (direction, etc.) is a complete baloney, and can be used to justify ANY rating for anyone. All managers are deeply ignorant schmoozers. 

Cult means there are plenty of taboo topics for which you'll be fired. There are, for example, internal ""non-managers"" groups, which are patrolled for any signs of dissent. If a person posts anything out of line there, this gets straight to his manager and HR. 
HR is the worst people I've met. They enforce the authoritarian rule ruthlessly and with cynicism. 

Working at Facebook has permanently damaged my faith in humanity. I realized that people can still do horrible crimes, given enough brainwashing. That people can treat each other like animals, given stack ranking. I wish I never joined this scam of a company, a lousy swamp filled with ghosts who pretend to be humans!
75 people found this review helpful
Helpful
Share
Repor"
Facebook,"Mar 21, 2020 ", Senior,"Seattle, WA",None,"Perks free food work from home
","Pressure and stress is real
1 person found this review helpful
Helpful
Share
Repor"
Facebook,"Mar 20, 2020 ",Anonymous,"Austin, TX",Outstanding company - Tasking work but they take care of you. Coming from a guy that never leaves a review for anything!,"They really care about employee welfare! Very impressive.
","The job can be very demanding and stressful most time and expectations are very high.
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Mar 20, 2020 ", Executive Assistant,"Menlo Park, CA",Amazing Culture - Never Leaving,"Orgs are flat, managers are countable for your growth, so much career opportunity, flexibility, perks that let you know they care about you as a whole person, amazing coworkers
","Whoever does our PR honestly does an awful job. There are so many positive initiatives we partake in that I didn’t even know about, and I consider myself well informed. We are too silent when we’ve made a mistake and when we do issue a statement, it sounds stiff and insincere, and honestly doesn’t usually tell the story of how the mistake happened- we are humans building services for humans and we do try our absolute best
2 people found this review helpful
Helpful
Share
Repor"
Facebook,"Mar 20, 2020 ", Software Engineer,"Menlo Park, CA",Emphasized More on Impact than Engineer Excellency,"- Great Facility & Perks
- Competitive Compensation
","- The company is too big and communications are valued far more important than technical skills. Impact focused culture makes the management rewards people who spent more time talking/writing docs, having meetings. It's getting more and more political. Hack culture is fading..
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Mar 19, 2020 ", Software Engineer,"Menlo Park, CA",Absolutely no regret,"- Great Work/Life balance
- Competitive compensation
- Supporting employee growth
- Employee Benefits
","- Laundry takes too long to deliver
"
Facebook,"Mar 19, 2020 ", Data Engineer Manager,"Menlo Park, CA","Great product, bad role","Products are Facebook are interesting and fast moving. The challenge of moving fast enables everyone to adapt and learn fast. The product building process is state of art and people of most expertise are able to contribute to their fullest. If you are not a data engineer, you should consider joining Facebook.
","Data engineering role is not well defined. It lies somewhere between an Engineer and Data Scientist. This means data engineering is expendable and needed only in the most egregious of situations. In these situations, the kind of work you get to do is awesome. But in most other cases, DE's are doing grunt work. And DE managers are doing everything possible to show grunt work is great to satisfy the performance cycles.
"
Facebook,"Mar 18, 2020 ", Software Engineer,"Sunnyvale, CA",Good Company,"Perks, they care about employees even when they move out of the country, they make sure you are safe.
","Every company has a few downsides, but they cant out weigh the pros.
Continue reading
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Mar 17, 2020 ", Global Security Site Manager,"Menlo Park, CA",Best Work So Far,"Great perks. When they say the company cares for you, they really do. They are understanding and supporting in decisions. They empower you to make the career you want based on your performance.
","There's so much info. You need to take the time to really dig in and understand all the information that's coming at you. Filter what to prioritize.
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Mar 16, 2020 ", Operations Program Manager,"Sunnyvale, CA",#1 company for a reason,"- Very compassionate leadership team. They truly value their employees
- Great benefits
- Very inclusive and uplifting work environment
- Friendly co-workers genuinely interested to make a difference
","- Most of the tools used by Facebook are internal. This requires some ramp up
- 401k match is not the best in the industry
- No tuition reimbursement
1 person found this review helpful
Helpful
Share
Repor"
Facebook,"Mar 12, 2020 ", Partner Engineer,"San Francisco, CA",Outstanding Onboarding Program,"- streamlined and over the top onboarding and bootcamp program
- flexibility to choose career path (at least for core software engineer)
- LOTS of resources to learn, including office hours by current employees
- Great free food on campus
","- Software Engineer at certain level is expected to get promoted within a limited amount of time, but pretty reasonable
- They have tools in house, so might take time to relearn and get used to
"
Facebook,"Mar 12, 2020 ", Software Engineer,"Menlo Park, CA","Great benefits, pick the right team","Benefits, some of the culture, food, size.
","Not all teams are doing exciting work
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Mar 12, 2020 ", Software Engineer,"New York, NY",Working i,"The impact of what we do is great, the people I get to work with are amazing - very smart, collaborative, and nice. There's a great social vibe. Incredible benefits (what did I do to get all this?), and a strong sense of ownership and growth.
","You will have to be proactive and deliberate about work-life balance. While you can have a great wlb, many prefer working harder to advance faster. Sometimes it's easy to forget that this is a choice. While within teams it really feels like a startup that moves really fast, sometimes there's some politics when interacting with different teams.
"
Facebook,"Mar 10, 2020 ", Operations Manager,"San Francisco, CA",should advertise more,"Good place to work and create.
","Nobody knows much about this company.
"
Facebook,"Mar 8, 2020 ", Enterprise Engineer,"Austin, TX",Worked at FB for almost 2 years. Moving at light speed - without losing life,"- Company Culture and great team
- Great projects to learn from and you make huge impact that you can see
- You can select projects you want to work on
- Fair evaluation process
- Great Management that keeps you motivated 
- You have freedom to bring in you opinion which will be truly understood and supported
","- You have to take the step to maintain work life balance - people will support your decision either ways
- Communicating with teams in different timezones - you can travel if need be but still not the same
"
Facebook,"Mar 5, 2020 ",Anonymous,"Redmond, WA",Fair process,"fair and transparent performance review process
","very non-confrontational, difficult to get clear feedback
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Mar 4, 2020 ", Program Manager,"Menlo Park, CA",It's fine. It's not heaven.,"Opportunity for impact. Rapid product growth. Competitive pay and benefits. Somewhat transparent. Nice rooftop garden. I enjoyed the free, healthy food options and onsite gyms.
","Expectations of long hours. Growing pains. As the company scales, toxic individuals are allowed to stay on teams. Decisions tend to be more top down. The shine of a lot of the perks wear off quickly. There's a crazy push to be outwardly/overly optimistic and not to point out problems. Dissenters are pushed out pretty fast.
"
Facebook,"Mar 4, 2020 ", Anonymous,"New York, NY",Best place to learn!,"Amazing people, perks, and so much to learn. No matter what vertical when you join Facebook you learn so much from really smart folks all around you.
","Goals are challenging - so one has to manage work/life balance. But FB supports that quite a bit!
"
Facebook,"Mar 4, 2020 ", Programmer,"New York, NY",C++,"A very good environment to work
","Nothing bad to say for this company
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Mar 1, 2020 ", Research Program Manager,"Menlo Park, CA",FB is ok. Pretty fed up with research operations.,"* Working at Facebook looks good on your resume
* I am never hungry
* Pay is ok for what the work is
","God help anyone who joins this team. The managers cant lead their way out of paper bag. One manager especially is gross. She backstabs and manipulates everyone. When called out for any bias they ignore it. Also a few months ago they decided to give everyone the Research Program Manager title, regardless of level or experience so now junior recruiting coordinators share the same title as people with M.B.A.s.. There is no support for your impact and only the favorites get recognized. Pulse scores won’t change anything. I can’t wait to leave and let the next poor soul be miserable in my place. Facebook is not a bad company I really just cannot stand this team. 

If anyone from HR is reading this, take a look at recent transitions/exits and notice the pattern for why people are leaving.
"
Google,"Aug 31, 2020 ", Software Engineer,"Mountain View, CA","Solid Experience, would work again","- Highly competitive pay, best benefits I've seen, best perks I've seen (yes, this doesn't matter, but when everything else is good, this helps).
- Very strong individuals. The average engineer here is very skilled and some of the best in the industry are here. This does not mean everyone is a genius, but there are certainly some here. To do the work, you definitely don't need to be the best, but the quality here is definitely among the best I've seen (I've worked at other ""top"" companies).
- Stellar work life balance. I've seen reviews for this that are negative, but I feel like they're on the wrong team or something. My team was busier than most and promoted people quickly and I still rarely pushed over 40 hours a week. I've seen some people work significantly fewer hours as well and still progressed. You can coast at L4 if you just do basic work and rest and vest.
- Good projects if you're on the right team. If you get lucky and get on the right team then the work is definitely interesting. This can be a con if you are on the wrong team.
- Interesting tools and learning opportunities. You can definitely learn a lot about system architecture if you are new to it. You can learn about any product area and go into the little details of that domain. Some tools at Google are used elsewhere and the knowledge can be transferred (Guice, Bazel, gRPC, protos, etc).
","- Work does not translate to other jobs. You never get to work on stuff like Apache Spark, AWS S3, RabbitMQ, and other technologies that are very common in industry. Instead you learn things like BigTable, which is similar to Apache HBase but not exactly. Your knowledge of internal frameworks is mostly useless in other jobs. The concepts learned are not, however.
- Half the projects are objectively boring and stale. Most of the projects are maintaining some aspect of the system (cloud, ads, etc) and a lot of it is tedious infrastructure work.
- Office politics as usual. The general population is friendly, but this does not mean everyone. Office politics definitely do play a role.
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 31, 2020 ", Software Engineer,"New York, NY",Amazing!,"Space to grow, opportunities, fun, challenging
","None, love what you do, do what you love
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 31, 2020 ", Finance,"Mountain View, CA",Trying to Put a Rich Kid on a Budget,"Google pays much more than market. Lots of perks if that makes you happy.
","Haven't found one Servant Leader. Finance Leadership talks the talks but doesn't walk the walk. Constantly put pressure on middle management with no tone from the top or having there back. Dreadful systems and allocations that are an over engineered mess.
"
Google,"Aug 31, 2020 ", Sales Development Representative,"Denver, CO",Great environment,"Exceptional people to work with
","Things move much more slowly
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 31, 2020 ", Global Operations Program Manager,"Sunnyvale, CA",Great benefits,"Free food, beautiful office spaces, lots of employee perks
","Competitive, work can be challenging at times
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 30, 2020 ", Software Engineer,"Los Angeles, CA",Software,"Good company and awesomedya ahead of the day
","nothing bad so far in the workd of lfe
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 30, 2020 ", Software Engineer,"Los Angeles, CA",Software,"Good company and awesomedya ahead of the day
","nothing bad so far in the workd of lfe
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 30, 2020 ", Software Engineer,"San Francisco, CA",good,"fantastic work life balance, great management
","there are no cons here
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 30, 2020 ", Recruiter,"Torrance, CA",Great company!,"Nice, easy, fun, fast, cool
","Very fast paced And friendly
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 30, 2020 ", Counsel,"San Francisco, CA","Interesting work, cutting edge legal issues","interesting work, collaborative, great benefits
","large matrix organization, hard to navigate
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 30, 2020 ", Computer Systems Engineer,"Pom-o-sa Heights, MO",Terrible,"Fun great job enviroment fun
","Terrible pay the treat you bad
"
Google,"Aug 30, 2020 ", Research Scientist,"Mountain View, CA",Great place o work,"Smart coworkers, good company values, interesting projects, nice perks
","None that I can think of.
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 29, 2020 ", Software Engineer,"New York, NY",SWE,"Great company to work at
","Slow promo cycle in career
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 29, 2020 ", Field Marketing Manager,"Sunnyvale, CA",Great place to work,"Great benefits, culture, vision and products
","Sometimes seems too large to navigate
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 29, 2020 ", Senior Software Developer,"New York, NY",image classi,"good efficient staff is good well behaved helping supportive
","fast linear work cost people
"
Google,"Aug 28, 2020 ", Senior Engineering Manager,"Mountain View, CA",Great place to work,"Big impact, people who care
","Super big company, moves slow
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 28, 2020 ", Software Engineer,"New York, NY",Amazing Culture!,"Culture is great and a good focus on engineering
","-A lot of pressure
-A lot of competition
"
Google,"Aug 28, 2020 ", Project Engineer,"China, ME",Great place to work,"Free coffee, nice benefits, swag
","Plugged into the matrix for eternity
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 28, 2020 ", Software Engineer,"Austin, TX",Internship at Google,"Good, got a lot of experience!
","Everything was great! I have nothing to complain about.
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 27, 2020 ", Product Manager,"Mountain View, CA",Great company,"Fun company to work at
","There cons here and there, but nothing big
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 27, 2020 ", Software Engineer,"Austin, TX",A big corp,"Nice pay, nice bennies, no pressure to work terrifically hard
","Not a particularly fast-moving product shop
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 27, 2020 ", Software Developer,"Los Angeles, CA",Good job,"The benefits are great at Google
","Long hours and very competitive.
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 27, 2020 ", Software Eginner,"San Jose, CA",Good,"Good people, great serivice great employer
","Great People, good people, aazing people
"
Google,"Aug 27, 2020 ", Software Eginner,"San Jose, CA",Good,"Good people, great serivice great employer
","Great People, good people, aazing people
"
Google,"Aug 27, 2020 ", Technology Project Manager,"Boulder, CO",Great Company to work for,"Great company, lots of opportunity for movement
","Big company, you can feel like just another minon
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 27, 2020 ", Hardware Engineer,"New York, NY",GOOD,"always good for me yeah....
","nothing bad for me yeah.....
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 27, 2020 ", Site Reliability Engineering Manager,"New York, NY",Google SRM in NYC,"Lots of perks, build a network
","Not the best paid in industry
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 27, 2020 ", Software Engineer,"Los Angeles, CA",This was the best place on earth to work,"One big pro was that it is the best place in the world to work
","I can't think of anything bad about this place
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 26, 2020 ", Principal Systems Engineer/Manager,"San Francisco, CA",Fascinating place to work,"Opportunity to work on an innovative, advanced technology. Great teammates. Fantastic boss.
","Struggled with the work/life balance.
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 26, 2020 ", Program Manager,"Kirkland, WA",Great company to manage programs.,"Lots of tools and diversity, data driven company, great compensation.
","Program management is all to support software engineers who really are the deciders.
1 person found this review helpful
Helpful
Share
Repor"
Google,"Aug 26, 2020 ", User Experience Researcher,"New York, NY",An amazing place to work!,"Google has such an open, accepting and inspiring culture — all of the people I've worked with at Google have been amazing hard workers.
","There is something called ""imposter syndrome"" where you think that you don't belong at Google because it's ""GOOGLE""... but if you've made it through the interview process you belong there, and so it just takes some time adjustin gto that.
4 people found this review helpful
Helpful
Share
Repor"
Google,"Aug 25, 2020 ", Director,"Mountain View, CA",Amazing Company,"Honest leadership, great flexibility. World-class products. ","antly innovative.
Cons
Standard issues with a large company. Takes a while to get to know your way around.
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 25, 2020 ", Concierge,"Chesterton, IN",BEST Place to work,"Professional staff, fresh food, employee appreciation meals
","None that I can think of
"
Google,"Aug 25, 2020 ", Concierge,"Chesterton, IN",BEST Place to work,"Professional staff, fresh food, employee appreciation meals
","None that I can think of
"
Google,"Aug 25, 2020 ", Dry Clean Worker,"Palestine, TX",Palestine,"Confidence, progress, success, honesty, credibility
","Nothing, there are no negatives
"
Google,"Aug 24, 2020 ", Software Engineer,"Mountain View, CA",Great,"They treat their employees well
","I can’t think of any downsides
1 person found this review helpful
Helpful
Share
Repor"
Google,"Aug 24, 2020 ", Associate Project Manager,"San Francisco, CA",Good place to work,"No so far, its been more than 5 months
","Job security , supporting team , good management
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 24, 2020 ", Database Administrator,"Houston, TX",ergerg,"good and very good service
","a bad and very bad manager
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 24, 2020 ", Technical Sourcer,"Austin, TX",Great place to work,"The best coworkers you'll ever have
","Difficult to stand out from peers
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 24, 2020 ", Student,"India, TN",Good,"Free food and vacation leave
","No high salary and giving no non veg
"
Google,"Aug 23, 2020 ", Software Development Engineer,"Washington, DC",Best company to work,"Opportunities to grow are plenty
","Apparently no cons at the time
"
Google,"Aug 23, 2020 ", Senior Account Manager,"New York, NY",Google Sales Role,"Great work environment and good compensation
","No cons as such for now
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 23, 2020 ", Programmer Analyst,"Los Angeles, CA",Awesome,"Great company to work for
","No cons to report at this time
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 23, 2020 ", Business Development Manager,"Mountain View, CA",Terrible company culture,"Brand name and external validation
","Bullying and toxic work environment

No strategy
"
Google,"Aug 23, 2020 ", Senior Software Engineer,"San Francisco, CA",Working at google,"Work/life balance
Office perks
Wide range of things to work on
","Very large, hard to make big changes
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 22, 2020 ", Engineering,"New York, NY",Great comment,"I liked working there. Good communication and fun projects
","I can’t really think of anything. Long hours sometimes
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 22, 2020 ", Software Engineer,"San Jose, CA",Highly recommended,"Diversity, food, salary and flexibility
","Too many meetings, like other big companies.
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 22, 2020 ", Field Marketing Manager,"San Francisco, CA",Bet job I've ever had,"Supportive management, room for growth, and obviously great perks
","There are none that I have encountered thus far.
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 22, 2020 ", AI Resident,"New York, NY",Excellent work experience,"friendly people, great perks and pay, good culture, good work environment
","Some infrastructure is hard to use
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 22, 2020 ", Site Reliability Engineer,"New York, NY",Google SRE review,"Great company to work for. Looks after their employees.
","Complexity of the job can be intimidating.
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 22, 2020 ", Site Reliability Engineer,"New York, NY",Google SRE review,"Great company to work for. Looks after their employees.
","Complexity of the job can be intimidating.
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 21, 2020 ", Software Developer,"Washington, DC",Good place to foster your carrier,"Nice company with good benefits
","Maybe too stressful when the deadline comes
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 21, 2020 ", Sales Associate,"Mountain View, CA",Amazing place to work,"amazing culture, benefits, peers and career opportunities
","Has become too big and burocratic
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 21, 2020 ", Diversity Coordinator,"San Francisco, CA",First job,"Benefits, brand recognition, variety of work opportunities, wealth of mentors
","Red tape, at times too big
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 20, 2020 ", Software Development Engineer,"San Jose, CA",Great perks,"Love the perks in GOOG
","Huge company so visibility is less
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 20, 2020 ", Staffing Channels Specialist,"Austin, TX",Interesting place to work,"free food, nice office space
","underleveling of women and minorities, which translates to lower pay, horrible managers, racism, sexism
7 people found this review helpful
Helpful
Share
Repor"
Google,"Aug 20, 2020 ", Software Engineer,"Mountain View, CA",Great,"Work life balance, office perks, smart people
","Stressful, high pressure, hard to be recognized
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 20, 2020 ", Senior Eng Manager,"Mountain View, CA",Inclusive Culture,"Google focuses on creating an open and inclusive culture.
","There’s a lot of Bureaucracy
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 20, 2020 ", Software Developer,"Ind Harbor Bch, FL",Developer,"Great flexibility and the pay is pretty good
","Boring and the work load can be overwhelming
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 20, 2020 ", Staff Software Engineer,"Chapel Hill, NC",Great,"It's nice, there are lots of benefits
","Somethings are not so nice, that's life
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 20, 2020 ", Staff Software Engineer,"Chapel Hill, NC",Great,"It's nice, there are lots of benefits
","Somethings are not so nice, that's life
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 20, 2020 ", Team Lead,"San Francisco, CA",Team lead in sales operations,"Great people, and management cares about everyone.
","Politics has slowed the business and focus drifted from building great products. That said, this is happenidng everywhere
"
Google,"Aug 20, 2020 ", Software Engineer,"San Jose, CA",good,"good very much really really
","I assume they can give more salary
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 20, 2020 ", Business Analyst,"Seattle, WA",best job period,"love it best place on the face of the earth
","non they are amazing amazing
"
Google,"Aug 19, 2020 ", APMM,"Mountain View, CA",Excellent place to work,"Will keep your network throughout your career. Highly intelligent co-workers.
","Big projects take time, so you have to have patience.
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 19, 2020 ", Program Manager,"Mountain View, CA",Don't want to work elsewhere,"Benefits and salary are generous. Culture of company has compassion.
","Change, change, change. Constant change.
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 19, 2020 ", Software Engineer,"San Francisco, CA",It's great,"I've had a great time working here. Culture is different from team to team but my experience with my managers and co workers has been very supportive and positive.
","A lot to pick up very quickly. It is a bit overwhelming at first.
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 19, 2020 ", Account Manager,"San Francisco, CA",Account Manager pro/ cons,"work life balance, colleagues, benefits
","promotion process, career progression, entry level salaries
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 19, 2020 ", Product Manager,"Mountain View, CA",I love working here,"The people are really great.
","Things are complex and take a while.
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 19, 2020 ", Vice President,"Mountain View, CA",Dont ask me that,"Free food and uber with cheap beer
","we don't get briyani in the office
Be the first to find this review helpful
Helpful
Share
Repor"
Google,"Aug 18, 2020 ", Software Developer,"New York, NY","Great salary, great company","Working with the best in the industry, learning a lot.
","No personal contact, long work hours.
Be the first to find this review helpful
Helpful
Share
Repor"
